id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P04277,000900,초ㆍ중등교육법,60,각종학교,사항은 교육부령으로,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙
P03246,010482,재외국민의 교육지원 등에 관한 법률 시행령,15,공무원이 아닌 사람의 채용기간 등,필요한 사항은 교육부령으로,교육부령,시행규칙,부령,법령,재외국민의 교육지원 등에 관한 법률 시행규칙
P04813,005238,초ㆍ중등교육법 시행령,91,자율형 사립고등학교,교육부령으로 정한다,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙
P05109,011147,취업 후 학자금 상환 특별법 시행령,16,재산등의 조사,교육부령으로 정한다,교육부령,시행규칙,부령,법령,취업 후 학자금 상환 특별법 시행규칙
P01320,003349,대학설립ㆍ운영 규정,2,설립인가기준 등,교육부령으로 정하는,교육부령,시행규칙,부령,법령,대학설립ㆍ운영 규정 시행규칙
P02702,009621,유아교육법,24,무상교육,필요한 사항은 교육부령으로,교육부령,시행규칙,부령,법령,유아교육법 시행규칙
P06297,003751,평생교육법 시행령,26,학교형태의 평생교육시설의 등록,교육부령으로 정하는 등록증을,교육부령,시행규칙,부령,법령,평생교육법 시행규칙
P03219,010482,재외국민의 교육지원 등에 관한 법률 시행령,15,공무원의 파견,인사관리에 관하여는 교육부령으로,교육부령,시행규칙,부령,법령,재외국민의 교육지원 등에 관한 법률 시행규칙
P07369,005397,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,16,개인과외교습자의 신고 등,교육부령으로 정하는 서류를,교육부령,시행규칙,부령,법령,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행규칙
P06656,005377,학교급식법 시행령,7,시설ㆍ설비의 종류와 기준,세부적인 기준은 교육부령으로,교육부령,시행규칙,부령,법령,학교급식법 시행규칙
P01582,001615,사립학교교직원 연금법,60,국가사업의 위탁 등,교육부령으로 정한다,교육부령,시행규칙,부령,법령,사립학교 교직원 학자금대여사업 위탁관리규칙
P03116,010449,장애인 등에 대한 특수교육법,22,개별화교육,필요한 사항은 교육부령으로 정한다,교육부령,시행규칙,부령,법령,장애인 등에 대한 특수교육법 시행규칙
P00753,011779,교육부와 그 소속기관 직제,15,위임규정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,교육부와 그 소속기관 직제 시행규칙
P00338,000886,교원의 지위 향상 및 교육활동 보호를 위한 특별법,5,학교 안전사고로부터의 보호,법률로 정한다,법률,시행규칙,,법령,학교안전사고 예방 및 보상에 관한 법률
P00996,012260,국립대학의 회계 설치 및 재정 운영에 관한 법률,6,재정 운영 등의 기준,세부적인 기준은 교육부령으로 정한다,교육부령,시행규칙,부령,법령,국립대학의 회계 설치 및 재정 운영에 관한 법률 시행규칙
P06711,000890,학교보건법,7,건강검사기록,필요한 범위에서 교육부령으로,교육부령,시행규칙,부령,법령,학교건강검사규칙
P07411,000891,학점인정 등에 관한 법률,3,학습과정의 평가인정,교육부령으로 정하는,교육부령,시행규칙,부령,법령,학점인정 등에 관한 법률 시행규칙
P01360,003441,독학에 의한 학위취득에 관한 법률 시행령,9,시험과목 면제 대상,교육부령으로 정한다,교육부령,시행규칙,부령,법령,독학에 의한 학위취득에 관한 법률 시행규칙
P04856,005238,초ㆍ중등교육법 시행령,96,초등학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙
P02190,004216,영유아보육법 시행령,25,이행강제금의 부과 및 반환,교육부령으로 정하는,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P02146,000191,영유아보육법,43,어린이집의 폐지ㆍ휴지 및 재개 등의 신고,교육부령으로 정하는,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P00347,000886,교원의 지위 향상 및 교육활동 보호를 위한 특별법,5,학교 안전사고로부터의 보호,법률로 정한다,법률,시행규칙,,법령,학교안전사고 예방 및 보상에 관한 법률
P00321,002565,교원 등의 연수에 관한 규정,2,연수기관의 종류 및 설치 등,교육부령으로 정하는 중요사항을,교육부령,시행규칙,부령,법령,교원 등의 연수에 관한 규정 시행규칙
P04898,005238,초ㆍ중등교육법 시행령,98,고등학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,학력인정학교지정규칙|초ㆍ중등교육법 시행규칙
P02027,000191,영유아보육법,13,국공립어린이집 외의 어린이집의 설치,교육부령으로 정한다,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P04879,005238,초ㆍ중등교육법 시행령,97,중학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,학력인정학교지정규칙|초ㆍ중등교육법 시행규칙
P02150,000191,영유아보육법,43,어린이집의 설치ㆍ운영만을 목적으로 하는 사회복지법인의 해산 및 잔여재산 처분에 관한 특례,교육부령으로 정하는,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P00747,011779,교육부와 그 소속기관 직제,15,위임규정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,교육부와 그 소속기관 직제 시행규칙
P03229,010482,재외국민의 교육지원 등에 관한 법률 시행령,15,공무원의 파견,인사관리에 관하여는 교육부령으로,교육부령,시행규칙,부령,법령,재외국민의 교육지원 등에 관한 법률 시행규칙
P04646,005238,초ㆍ중등교육법 시행령,82,입학전형방법,교육부령으로 정하는,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙
P02026,000191,영유아보육법,13,국공립어린이집 외의 어린이집의 설치,교육부령으로 정한다,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P02918,012237,인성교육진흥법,17,교원의 연수 등,교육부령으로 정하는,교육부령,시행규칙,부령,법령,인성교육진흥법 시행규칙
P00109,000899,고등교육법,34,학생의 선발방법 등,교육부령으로 정하는,교육부령,시행규칙,부령,법령,대학수학능력시험 출제위원 지정ㆍ위촉에 관한 규칙
P01003,012260,국립대학의 회계 설치 및 재정 운영에 관한 법률,11,대학회계,교육부령으로 정하는,교육부령,시행규칙,부령,법령,국립대학의 회계 설치 및 재정 운영에 관한 법률 시행규칙
P02195,004216,영유아보육법 시행령,26,업무의 위탁,교육부령으로 정한다,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P02582,009621,유아교육법,17,건강검진 및 급식,교육부령으로 정한다,교육부령,시행규칙,부령,법령,유아교육법 시행규칙
P04817,005238,초ㆍ중등교육법 시행령,91,자율형 사립고등학교,교육부령으로 정하는,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙
P04874,005238,초ㆍ중등교육법 시행령,97,중학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,학력인정학교지정규칙|초ㆍ중등교육법 시행규칙
P02170,000191,영유아보육법,47,보육교사의 자격정지,교육부령으로 정하는 중상해,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P03233,010482,재외국민의 교육지원 등에 관한 법률 시행령,15,공무원의 파견,인사관리에 관하여는 교육부령으로,교육부령,시행규칙,부령,법령,재외국민의 교육지원 등에 관한 법률 시행규칙
P05666,000851,평생교육법,19,장애인 평생교육 종사자에 대한 인권교육,교육부령으로 정하는 인권교육을,교육부령,시행규칙,부령,법령,평생교육법 시행규칙
P05104,011147,취업 후 학자금 상환 특별법 시행령,13,재산의 범위,교육부령으로 정하는,교육부령,시행규칙,부령,법령,취업 후 학자금 상환 특별법 시행규칙
P02127,000191,영유아보육법,33,급식 관리,교육부령으로 정하는,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P01007,012260,국립대학의 회계 설치 및 재정 운영에 관한 법률,11,대학회계,교육부령으로 정하는,교육부령,시행규칙,부령,법령,국립대학의 회계 설치 및 재정 운영에 관한 법률 시행규칙
P03209,010482,재외국민의 교육지원 등에 관한 법률 시행령,8,학교발전기금,필요한 사항은 교육부령으로 정한다,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙
P05102,011147,취업 후 학자금 상환 특별법 시행령,13,재산의 범위,교육부령으로 정하는,교육부령,시행규칙,부령,법령,취업 후 학자금 상환 특별법 시행규칙
P00765,011779,교육부와 그 소속기관 직제,34,하부조직,교육부령으로 정한다,교육부령,시행규칙,부령,법령,교육부와 그 소속기관 직제 시행규칙
P04109,000900,초ㆍ중등교육법,25,학교생활기록,교육부령으로 정하는 사항,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙
P02103,000191,영유아보육법,26,시간제보육 서비스,교육부령으로 정하는,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P03067,011443,장애아동 복지지원법,32,장애영유아 어린이집,교육부령으로 정한다,교육부령,시행규칙,부령,법령,장애영유아를 위한 어린이집의 설치 및 운영 등에 관한 규칙|장애영유아를 위한 어린이집의 설치 및 운영 등에 관한 규칙
P04497,005238,초ㆍ중등교육법 시행령,64,학교발전기금,사항은 교육부령으로,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙
P07187,000850,학원의 설립ㆍ운영 및 과외교습에 관한 법률,5,감염병에 관한 조치,교육부령으로 정하는,교육부령,시행규칙,부령,법령,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행규칙
P03033,004587,자격기본법 시행령,25,민간자격의 공인 절차,교육부령으로 정한다,교육부령,시행규칙,부령,법령,자격기본법 시행규칙
P03526,009862,지방교육재정교부금법 시행령,4,기준재정수요액의 산정 등,교육부령으로 정한다,교육부령,시행규칙,부령,법령,지방교육재정교부금법 시행규칙
P02074,000191,영유아보육법,21,어린이집의 원장 또는 보육교사의 자격,교육부령으로 정하는,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙
P00007,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정한다,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00633,001616,교육공무원법,42,연수 실적 및 근무성적의 평정,사항은 대통령령으로,대통령령,시행령,대통령령,법령,교육공무원 승진규정
P04281,000900,초ㆍ중등교육법,60,대안학교,대통령령으로 정한다,대통령령,시행령,대통령령,법령,대안학교의 설립ㆍ운영에 관한 규정
P02010,000191,영유아보육법,7,육아종합지원센터,대통령령으로 정하는,대통령령,시행령,대통령령,법령,영유아보육법 시행령
P00078,000899,고등교육법,20,학년도 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P04290,000900,초ㆍ중등교육법,60,금융정보등의 제공,대통령령으로 정한다,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P04113,000900,초ㆍ중등교육법,27,학력인정 시험,대통령령으로 정하는,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P07036,011527,학교체육 진흥법,17,학교체육진흥원,사항은 대통령령으로,대통령령,시행령,대통령령,법령,학교체육 진흥법 시행령
P04094,000900,초ㆍ중등교육법,22,산학겸임교사 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,국립 국악ㆍ전통예술학교 설치령
P02946,009349,인적자원개발 기본법,7,국가인적자원위원회,대통령령으로 정한다,대통령령,시행령,대통령령,법령,인적자원개발 기본법 시행령
P05049,011136,취업 후 학자금 상환 특별법,19,장기미상환자에 대한 특례,사항은 대통령령으로,대통령령,시행령,대통령령,법령,취업 후 학자금 상환 특별법 시행령
P01509,000852,사료의 수집ㆍ편찬 및 한국사의 보급 등에 관한 법률,19,한국사정보화의 촉진,대통령령으로 정한다,대통령령,시행령,대통령령,법령,사료의 수집ㆍ편찬 및 한국사의 보급 등에 관한 법률 시행령
P06238,000851,평생교육법,42,행정처분,대통령령으로 정하는,대통령령,시행령,대통령령,법령,평생교육법 시행령
P07478,000887,한국사학진흥재단법,21,자금의 융자,대통령령으로 정한다,대통령령,시행령,대통령령,법령,한국사학진흥재단법 시행령
P03509,000880,지방교육재정교부금법,5,특별교부금의 교부,대통령령으로 정한다,대통령령,시행령,대통령령,법령,지방교육재정교부금법 시행령
P00895,012494,교육환경 보호에 관한 법률,8,교육환경보호구역의 설정 등,교육감의 권한은 대통령령으로,대통령령,시행령,대통령령,법령,교육환경 보호에 관한 법률 시행령
P04244,000900,초ㆍ중등교육법,43,입학자격 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P00622,001616,교육공무원법,42,연수 실적 및 근무성적의 평정,사항은 대통령령으로,대통령령,시행령,대통령령,법령,교육공무원 승진규정
P00364,000886,교원의 지위 향상 및 교육활동 보호를 위한 특별법,13,교원지위향상심의회의 설치,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,교원 지위 향상을 위한 교섭ㆍ협의에 관한 규정
P06898,000894,학교용지 확보 등에 관한 특례법,3,학교용지의 조성ㆍ개발,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,학교용지 확보 등에 관한 특례법 시행령
P01317,012264,대학도서관진흥법,12,시설 및 도서관자료,대통령령으로 정하는 범위에서 학칙으로 정한다,대통령령,시행령,대통령령,법령,대학도서관진흥법 시행령
P03000,000866,자격기본법,17,민간자격의 신설 및 등록 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,자격기본법 시행령
P01804,000875,서울대학교병원 설치법,9,이사회,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,서울대학교병원 설치법 시행령
P07065,009620,학교폭력예방 및 대책에 관한 법률,16,피해학생의 보호,대통령령으로 정하는 특별한,대통령령,시행령,대통령령,법령,학교폭력예방 및 대책에 관한 법률 시행령
P04336,005238,초ㆍ중등교육법 시행령,2,학교의 설립기준,대통령령으로 정한다,대통령령,시행령,대통령령,법령,고등학교 이하 각급 학교 설립ㆍ운영 규정
P00362,000886,교원의 지위 향상 및 교육활동 보호를 위한 특별법,13,교원지위향상심의회의 설치,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,교원 지위 향상을 위한 교섭ㆍ협의에 관한 규정
P00712,011529,교육국제화특구의 지정ㆍ운영 및 육성에 관한 특별법,8,연차별 실시계획,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,교육국제화특구의 지정ㆍ운영 및 육성에 관한 특별법 시행령
P00803,013614,교육시설 등의 안전 및 유지관리 등에 관한 법률,17,안전점검등의 결과에 따른 조치,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교육시설 등의 안전 및 유지관리 등에 관한 법률 시행령
P07157,000857,학술진흥법,17,사업비의 사용 및 관리,사항은 대통령령으로,대통령령,시행령,대통령령,법령,학술진흥법 시행령
P00051,000899,고등교육법,18,학교의 명칭,대통령령으로 정하고,대통령령,시행령,대통령령,법령,한국교원대학교 설치령
P00578,001616,교육공무원법,33,임용권의 위임 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교육공무원임용령|국립 국악ㆍ전통예술학교 설치령
P04026,000900,초ㆍ중등교육법,9,학생ㆍ기관ㆍ학교 평가,결과의 공개 등에 필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P00131,000899,고등교육법,35,학위의 수여,사항은 대통령령으로,대통령령,시행령,대통령령,법령,고등교육법 시행령
P01354,000892,독학에 의한 학위취득에 관한 법률,6,학위 수여 등,필요한 사항은 대통령령으로 정한다,대통령령,시행령,대통령령,법령,독학에 의한 학위취득에 관한 법률 시행령
P00536,001616,교육공무원법,12,경력경쟁채용 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교육공무원임용령
P04262,000900,초ㆍ중등교육법,47,입학자격 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P00629,001616,교육공무원법,42,연수 실적 및 근무성적의 평정,사항은 대통령령으로,대통령령,시행령,대통령령,법령,교육공무원 승진규정
P00517,001616,교육공무원법,5,대학인사위원회,사항은 대통령령으로,대통령령,시행령,대통령령,법령,교육공무원 인사위원회 규정
P00743,000901,교육기본법,17,양성평등의식의 증진,대통령령으로 정한다,대통령령,시행령,대통령령,법령,양성평등교육심의회 규정|남녀평등교육심의회규정
P00176,000899,고등교육법,59,지역혁신대학지원위원회,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P00645,001616,교육공무원법,50,징계위원회의 설치,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교육공무원 징계령|교육공무원 징계령
P02523,009621,유아교육법,5,유아교육위원회,대통령령으로 정한다,대통령령,시행령,대통령령,법령,유아교육법 시행령
P02898,012237,인성교육진흥법,8,공청회등의 실시,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,인성교육진흥법 시행령
P00728,011529,교육국제화특구의 지정ㆍ운영 및 육성에 관한 특별법,14,지역사회의 국제경쟁력 강화,그 밖에 대통령령으로 정하는 사업,대통령령,시행령,대통령령,법령,교육국제화특구의 지정ㆍ운영 및 육성에 관한 특별법 시행령
P00575,001616,교육공무원법,33,임용권의 위임 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교육공무원임용령|국립 국악ㆍ전통예술학교 설치령
P01782,000865,산업교육진흥 및 산학연협력촉진에 관한 법률,39,산학연협력 통계의 작성,대통령령으로 정한다,대통령령,시행령,대통령령,법령,산업교육진흥 및 산학연협력촉진에 관한 법률 시행령
P03129,010449,장애인 등에 대한 특수교육법,28,특수교육 관련서비스,사항은 대통령령으로,대통령령,시행령,대통령령,법령,장애인 등에 대한 특수교육법 시행령
P04179,000900,초ㆍ중등교육법,30,학생의 안전대책 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P01616,000888,사립학교법,26,대학평의원회,대통령령으로 정하는,대통령령,시행령,대통령령,법령,사립학교법 시행령
P04106,000900,초ㆍ중등교육법,24,수업 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P01767,000865,산업교육진흥 및 산학연협력촉진에 관한 법률,36,학교기업,대통령령으로 정한다,대통령령,시행령,대통령령,법령,산업교육진흥 및 산학연협력촉진에 관한 법률 시행령
P03961,000864,직업교육훈련 촉진법,9,현장실습계약 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,직업교육훈련 촉진법 시행령
P04078,000900,초ㆍ중등교육법,18,학생의 정서ㆍ행동 지원 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P06871,010380,학교안전사고 예방 및 보상에 관한 법률,49,공제료,대통령령으로 정하는,대통령령,시행령,대통령령,법령,학교안전사고 예방 및 보상에 관한 법률 시행령
P02873,012497,인문학 및 인문정신문화의 진흥에 관한 법률,6,인문학 및 인문정신문화 진흥심의회 설치 및 심의사항,세부사항은 대통령령으로,대통령령,시행령,대통령령,법령,인문학 및 인문정신문화의 진흥에 관한 법률 시행령
P04072,000900,초ㆍ중등교육법,18,재심청구,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P00118,000899,고등교육법,34,대학입학 전형계획의 공표,대통령령으로 정하는 바에,대통령령,시행령,대통령령,법령,고등교육법 시행령
P07075,009620,학교폭력예방 및 대책에 관한 법률,17,가해학생에 대한 조치,기준은 대통령령으로,대통령령,시행령,대통령령,법령,학교폭력예방 및 대책에 관한 법률 시행령
P01306,010007,대학교원 기간임용제 탈락자 구제를 위한 특별법,3,교원소청심사특별위원회의 설치 등,필요한 사항은 대통령령으로 정한다,대통령령,시행령,대통령령,법령,대학교원 기간임용제 탈락자 구제를 위한 특별법 시행령
P06675,010584,학교도서관진흥법,8,학교도서관진흥위원회,사항은 대통령령으로,대통령령,시행령,대통령령,법령,학교도서관진흥법 시행령
P00026,000899,고등교육법,4,학교의 설립 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P07095,014818,학생맞춤통합지원법,8,시ㆍ도학생맞춤통합지원센터 및 지역학생맞춤통합지원센터의 설치ㆍ지정,대통령령으로 정하는,대통령령,시행령,대통령령,법령,학생맞춤통합지원법 시행령
P04247,000900,초ㆍ중등교육법,43,입학자격 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P01730,000865,산업교육진흥 및 산학연협력촉진에 관한 법률,11,현장실습 운영,대통령령으로 정하는,대통령령,시행령,대통령령,법령,산업교육진흥 및 산학연협력촉진에 관한 법률 시행령
P04213,000900,초ㆍ중등교육법,34,학교운영위원회의 구성ㆍ운영,대통령령으로 정하는,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P07496,010909,한국장학재단 설립 등에 관한 법률,18,채권의 발행,사항은 대통령령으로,대통령령,시행령,대통령령,법령,한국장학재단 설립 등에 관한 법률 시행령
P01760,000865,산업교육진흥 및 산학연협력촉진에 관한 법률,36,학교기업,대통령령으로 정한다,대통령령,시행령,대통령령,법령,산업교육진흥 및 산학연협력촉진에 관한 법률 시행령
P03041,011443,장애아동 복지지원법,9,지역장애아동지원센터,대통령령으로 정하는,대통령령,시행령,대통령령,법령,장애아동 복지지원법 시행령
P00172,000899,고등교육법,57,입학자격 등,대통령령으로 정하는 바에 따라,대통령령,시행령,대통령령,법령,고등교육법 시행령
P00567,001616,교육공무원법,29,수석교사의 임용 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교육공무원임용령
P03926,000864,직업교육훈련 촉진법,4,직업교육훈련 기본계획의 수립ㆍ시행,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,직업교육훈련 촉진법 시행령
P00590,001616,교육공무원법,36,명예퇴직,사항은 대통령령으로,대통령령,시행령,대통령령,법령,국가공무원 명예퇴직수당 등 지급 규정
P00154,000899,고등교육법,50,의료인ㆍ의료기사 양성을 위한 과정의 수업연한 및 학위에 관한 특례,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P00964,011316,국립대학법인 서울대학교 설립ㆍ운영에 관한 법률,26,예산 및 결산 등,대통령령으로 정하는 바에 따라 공시하여야,대통령령,시행령,대통령령,법령,국립대학법인 서울대학교 설립ㆍ운영에 관한 법률 시행령
P03200,010362,재외국민의 교육지원 등에 관한 법률,28,한국교육원의 설치 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,재외국민의 교육지원 등에 관한 법률 시행령
P00192,000899,고등교육법,60,시정 또는 변경 명령 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P01776,000865,산업교육진흥 및 산학연협력촉진에 관한 법률,36,이익배당의 사용제한,대통령령으로 정하는,대통령령,시행령,대통령령,법령,산업교육진흥 및 산학연협력촉진에 관한 법률 시행령
P06349,002010,폐교재산의 활용촉진을 위한 특별법,5,대부 등에 관한 특례,대통령령으로 정하는,대통령령,시행령,대통령령,법령,폐교재산의 활용촉진을 위한 특별법 시행령
P01725,000865,산업교육진흥 및 산학연협력촉진에 관한 법률,8,계약학과등의 설치 제한 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,산업교육진흥 및 산학연협력촉진에 관한 법률 시행령
P02627,009621,유아교육법,19,유치원운영위원회의 구성ㆍ운영,대통령령으로 정하고,대통령령,시행령,대통령령,법령,유아교육법 시행령
P01319,012264,대학도서관진흥법,15,실태조사,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,대학도서관진흥법 시행령
P04286,000900,초ㆍ중등교육법,60,교육비 지원의 신청,대통령령으로 정하는,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P01823,014576,시국사건관련 임용제외 교원의 피해회복을 위한 조치에 관한 특별법,5,임용제외기간의 근무 경력 인정에 관한 특례,대통령령으로 정한다,대통령령,시행령,대통령령,법령,시국사건관련 임용제외 교원의 피해회복을 위한 조치에 관한 특별법 시행령
P04073,000900,초ㆍ중등교육법,18,시ㆍ도학생징계조정위원회의 설치,사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령
P06796,000895,학교시설사업 촉진법,4,학교시설사업 시행계획의 승인 등,작성하여 대통령령으로,대통령령,시행령,대통령령,법령,학교시설사업 촉진법 시행령
P02689,009621,유아교육법,22,교원의 자격,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교원자격검정령|교원자격검정령|교원자격검정령
P00188,000899,고등교육법,59,규제특례의 관리 및 감독 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P01559,001615,사립학교교직원 연금법,52,강제 징수,대통령령으로 정하는,대통령령,시행령,대통령령,법령,사립학교교직원 연금법 시행령
P00796,013614,교육시설 등의 안전 및 유지관리 등에 관한 법률,11,교육시설안전인증 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교육시설 등의 안전 및 유지관리 등에 관한 법률 시행령
P01562,001615,사립학교교직원 연금법,53,심사의 청구,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,사립학교교직원 연금법 시행령
P03791,011996,지방대학 및 지역균형인재 육성에 관한 법률,17,특성화 지방대학의 지정 등,대통령령으로 정하는 기준에,대통령령,시행령,대통령령,법령,지방대학 및 지역균형인재 육성에 관한 법률 시행령
